,Ticket,Order Type,Currency Pair,Time Frame,Weight,Volume,SL,TP,Open Price,Close Price,Margin requirment,Porfit
0,AUDUSD_10min30,buy,AUDUSD,10min,0.14285714285714285,0.09111957371229486,0.7226965799999999,0.72414342,0.72342,0.72333,65.91772201494834,-0.8200761634106537
1,EURUSD_10min30,buy,EURUSD,10min,0.14285714285714285,0.05629037856839564,1.16985897,1.17220103,1.17103,1.17114,65.91772201494834,0.619194164252352
2,GBPUSD_10min30,sell,GBPUSD,10min,0.14285714285714285,0.04793841825020788,1.37367495,1.3764250500000001,1.37505,1.37489,65.91772201494834,0.7670146920033261
3,NZDUSD_10min30,buy,NZDUSD,10min,0.14285714285714285,0.0958092498872812,0.68732199,0.68869801,0.68801,0.68795,65.91772201494834,-0.5748554993236872
4,USDCAD_10min30,buy,USDCAD,10min,0.14285714285714285,0.08343667499486117,0.7892429114294066,0.7908229773181541,0.7900329443737804,0.7899268527734331,65.91772201494834,-0.8851930377860802
5,USDCHF_10min30,sell,USDCHF,10min,0.14285714285714285,0.06042413906222255,1.0898261078262388,1.0920079418759407,1.0909170248510898,1.0915719727980264,65.91772201494834,-3.9574665824213704
6,USDJPY_10min30,buy,USDJPY,10min,0.14285714285714285,7.236185829444629,0.009100347316258386,0.009118566229804448,0.009109456773031417,0.009110206163965491,65.91772201494834,0.5422732057865286
7,AUDUSD_10min40,buy,AUDUSD,10min,0.14285714285714285,0.09026818332138647,0.7230482136585364,0.7240717863414635,0.72356,0.7235199999999999,65.3144467240224,-0.3610727332855459
8,EURUSD_10min40,buy,EURUSD,10min,0.14285714285714285,0.05576997346518981,1.1703727013793106,1.1719072986206895,1.17114,1.17099,65.3144467240224,-0.8365496019778471
9,GBPUSD_10min40,sell,GBPUSD,10min,0.14285714285714285,0.047510053990923735,1.374206494186047,1.3752935058139528,1.37475,1.37534,65.3144467240224,-2.8030931854645003
10,NZDUSD_10min40,buy,NZDUSD,10min,0.14285714285714285,0.09491309558093788,0.6875548432432432,0.6887451567567568,0.68815,0.68794,65.3144467240224,-1.9931750071996956
11,USDCAD_10min40,buy,USDCAD,10min,0.14285714285714285,0.08268025181900546,0.7894996087353322,0.7904289784925252,0.7899642936139287,0.790313912686119,65.3144467240224,2.890659292941717
12,USDCHF_10min40,sell,USDCHF,10min,0.14285714285714285,0.05984893382215621,1.0902304871660555,1.0924131307840055,1.0913218089750305,1.0900251795816482,65.3144467240224,7.7601886756392195
13,USDJPY_10min40,sell,USDJPY,10min,0.14285714285714285,7.169566816895938,0.009100847226018038,0.00911906714038444,0.009109957183201239,0.009108958077295703,65.3144467240224,0.7163156546902182
14,AUDUSD_10min50,buy,AUDUSD,10min,0.14285714285714285,0.09132930363617206,0.7229489085365854,0.7238310914634145,0.72339,0.72387,66.0667049573705,4.383806574536258
15,EURUSD_10min50,sell,EURUSD,10min,0.14285714285714285,0.0564123033602904,1.16996886,1.1723111400000001,1.17114,1.17126,66.0667049573705,-0.6769476403234848
16,GBPUSD_10min50,sell,GBPUSD,10min,0.14285714285714285,0.04805095892690574,1.3747381493023265,1.3751218506976735,1.37493,1.37535,66.0667049573705,-2.018140274930041
17,NZDUSD_10min50,buy,NZDUSD,10min,0.14285714285714285,0.09602858320232925,0.6878877312162163,0.6880922687837837,0.68799,0.6883100000000001,66.0667049573705,3.0729146624759336
18,USDCAD_10min50,sell,USDCAD,10min,0.14285714285714285,0.08363648447373362,0.7891369259206596,0.7907167796262066,0.7899268527734331,0.7901390644753477,66.0667049573705,-1.774864071232829
19,USDCHF_10min50,buy,USDCHF,10min,0.14285714285714285,0.0604761403838778,1.091350040420372,1.0935349253861786,1.0924424829032753,1.0908932233712965,66.0667049573705,-9.369323694700775
20,USDJPY_10min50,buy,USDJPY,10min,0.14285714285714285,7.251746463607867,0.009109152834860372,0.009111755821811335,0.009110454328335854,0.00910821469883688,66.0667049573705,-1.6241225298963042
21,AUDUSD_10min60,buy,AUDUSD,10min,0.14285714285714285,0.08972888944598027,0.7230762,0.7245238,0.7238,0.72395,64.94577018100053,1.3459333416897041
22,EURUSD_10min60,buy,EURUSD,10min,0.14285714285714285,0.05545517203835623,1.1701303965517245,1.1721496034482757,1.17114,1.17128,64.94577018100053,0.7763724085377942
23,GBPUSD_10min60,buy,GBPUSD,10min,0.14285714285714285,0.04722435770763385,1.3738847399999998,1.37663526,1.37526,1.37537,64.94577018100053,0.5194679347839724
24,NZDUSD_10min60,buy,NZDUSD,10min,0.14285714285714285,0.09440341034507896,0.6877089875675676,0.6882110124324324,0.68796,0.6883100000000001,64.94577018100053,3.3041193620791374
25,USDCAD_10min60,sell,USDCAD,10min,0.14285714285714285,0.08217718192542357,0.7900797456008787,0.7905480797713592,0.790313912686119,0.7901016070666688,64.94577018100053,1.7446677513348725
26,USDCHF_10min60,buy,USDCHF,10min,0.14285714285714285,0.05954617884815215,1.0895883777239708,1.0917697358375325,1.0906790567807516,1.090821825163078,64.94577018100053,0.8501311627864502
27,USDJPY_10min60,buy,USDJPY,10min,0.14285714285714285,7.12975119667415,0.009100012415732656,0.009118230658807196,0.009109121537269926,0.00910804878270928,64.94577018100053,-0.7648473112503398
28,AUDUSD_10min70,buy,AUDUSD,10min,0.14285714285714285,0.09122031832020329,0.7233180411764706,0.7244819588235294,0.7239,0.72417,66.03438843199515,2.4629485946454888
29,EURUSD_10min70,buy,EURUSD,10min,0.14285714285714285,0.05637796976982033,1.1706741655172406,1.1718858344827592,1.1712799999999999,1.17153,66.03438843199515,1.4094492442463287
