,Order Type,Currency Pair,Open Price,Close Price,Profit,Wealth Index,previous_peaks,drawdowns
0,buy,AUDUSD,0.7337199999999999,0.73415,8.204764760399062,1008.204764760399,1008.204764760399,0.0
1,sell,EURUSD,1.18656,1.18685,-3.4216558791801512,1004.7831088812189,1008.204764760399,-0.003393810462692322
2,buy,GBPUSD,1.38922,1.38957,3.5271591252645367,1008.3102680064834,1008.3102680064834,0.0
3,buy,NZDUSD,0.6974899999999999,0.69731,-3.6129550244447945,1004.6973129820386,1008.3102680064834,-0.0035831778561453086
4,sell,USDCAD,0.8015518042931116,0.8019181883064291,-6.39930714268397,998.2980058393547,1008.3102680064834,-0.009929743338748121
5,buy,USDCHF,1.1036187659334955,1.1040208439135328,5.100576298882166,1003.3985821382369,1008.3102680064834,-0.004871204850425023
6,sell,USDJPY,0.009122339697685665,0.009121993527763151,0.27693593800995586,1003.6755180762468,1008.3102680064834,-0.004596551356558018
7,buy,AUDUSD,0.73412,0.7338100000000001,-5.933569101030984,997.7419489752158,1008.3102680064834,-0.010481217306417089
8,sell,EURUSD,1.18678,1.18666,1.4207981853149654,999.1627471605308,1008.3102680064834,-0.009072129022387179
9,sell,GBPUSD,1.38947,1.38949,-0.20225636038298708,998.9604908001478,1008.3102680064834,-0.009272718431025125
10,buy,NZDUSD,0.69807,0.6967800000000001,-25.966421499931254,972.9940693002166,1008.3102680064834,-0.03502513048497465
11,sell,USDCAD,0.8019503432347469,0.8016481886759178,5.294232869931202,978.2883021701477,1008.3102680064834,-0.029774531499804795
12,buy,USDCHF,1.1040086554278583,1.103923343563023,-1.0858212170912234,977.2024809530565,1008.3102680064834,-0.030851403620960557
13,sell,USDJPY,0.009123504885636869,0.00912024227741205,2.6100865798525774,979.812567532909,1008.3102680064834,-0.028262828791694023
14,buy,AUDUSD,0.73421,0.73419,-0.3736635552624106,979.4389039776466,1008.3102680064834,-0.02863341269539775
15,sell,EURUSD,1.1864700000000001,1.18644,0.3468450768766388,979.7857490545233,1008.3102680064834,-0.028289426238171243
16,sell,GBPUSD,1.38955,1.38958,-0.29615435095089904,979.4895947035724,1008.3102680064834,-0.028583139751112503
17,buy,NZDUSD,0.6976100000000001,0.69707,-10.618229398301043,968.8713653052714,1008.3102680064834,-0.03911385607446616
18,buy,USDCAD,0.8019181883064291,0.8016224839074286,-5.0582322099232,963.8131330953482,1008.3102680064834,-0.044130399464353216
19,buy,USDCHF,1.1039599041762804,1.1039477170361212,-0.15143265858808774,963.6617004367602,1008.3102680064834,-0.04428058404879415
20,sell,USDJPY,0.009120342924893977,0.0091133536239114,5.591440786060956,969.2531412228211,1008.3102680064834,-0.038735226668753064
21,buy,AUDUSD,0.7338600000000001,0.73424,7.0264447051282355,976.2795859279493,1008.3102680064834,-0.03176669235141438
22,sell,EURUSD,1.18656,1.18665,-1.0292433235072431,975.250342604442,1008.3102680064834,-0.03278745288134741
23,buy,GBPUSD,1.3895,1.38958,0.7812619778118455,976.0316045822539,1008.3102680064834,-0.0320126298902492
24,sell,NZDUSD,0.6968,0.69734,-10.516007100523144,965.5155974817308,1008.3102680064834,-0.042441966409170265
25,buy,USDCAD,0.8017253128733033,0.801770308841923,0.7615760225766481,966.2771735043074,1008.3102680064834,-0.041686667126061394
26,buy,USDCHF,1.1038867853712924,1.1040086554278583,1.4980894000933982,967.7752629044008,1008.3102680064834,-0.040200924644180965
27,sell,USDJPY,0.009112779762338704,0.009115678045554873,-2.318626572933681,965.4566363314672,1008.3102680064834,-0.04250044161480331
28,buy,AUDUSD,0.73418,0.73426,1.4728151579874729,966.9294514894546,1008.3102680064834,-0.04103976507037095
29,sell,EURUSD,1.18641,1.18656,-1.708902433641052,965.2205490558135,1008.3102680064834,-0.04273458311186493
30,buy,GBPUSD,1.38959,1.38954,-0.4863446379378283,964.7342044178757,1008.3102680064834,-0.043216919405929796
31,sell,NZDUSD,0.69707,0.69727,-3.8780589922505735,960.8561454256252,1008.3102680064834,-0.047063016302193485
32,buy,USDCAD,0.8016032064128256,0.8018153098615266,3.5764247535272338,964.4325701791524,1008.3102680064834,-0.043516067642632425
33,buy,USDCHF,1.1038989711661593,1.1037162124874451,-2.2377392981435267,962.1948308810089,1008.3102680064834,-0.04573536399331597
34,sell,USDJPY,0.009113361098706814,0.009115516842968359,-1.724595409235917,960.470235471773,1008.3102680064834,-0.04744574567240528
35,buy,AUDUSD,0.73424,0.73452,5.1278101479752545,965.5980456197482,1008.3102680064834,-0.042360197790290266
36,buy,EURUSD,1.18657,1.18666,1.0199082200733856,966.6179538398216,1008.3102680064834,-0.041348695425953715
37,buy,GBPUSD,1.38963,1.38988,2.419094164742561,969.0370480045641,1008.3102680064834,-0.03894953889497312
38,sell,NZDUSD,0.6973199999999999,0.6975899999999999,-5.206472623878997,963.8305753806851,1008.3102680064834,-0.04411310093443608
39,buy,USDCAD,0.8017381683489806,0.8022205464726363,8.090344050296315,971.9209194309815,1008.3102680064834,-0.036089435692692885
40,buy,USDCHF,1.103972091585525,1.1039111572300662,-0.7421916663855063,971.1787277645959,1008.3102680064834,-0.03682551038114463
41,sell,USDJPY,0.009115520997602615,0.009113938356055142,1.2661132379798798,972.4448410025758,1008.3102680064834,-0.03556983216566528
42,buy,AUDUSD,0.73429,0.73448,3.5227270929290224,975.9675680955048,1008.3102680064834,-0.03207613860257805
43,buy,EURUSD,1.18657,1.18692,4.015759475556131,979.983327571061,1008.3102680064834,-0.028093476119634538
