,Ticket,Order Type,Currency Pair,Time Frame,Weight,Volume,SL,TP,Open Price,Close Price,Margin requirment,Porfit
0,AUDUSD_10min30,buy,AUDUSD,10min,0.14285714285714285,0.11177507292098258,0.7328164500000001,0.73428355,0.73355,0.73363,81.99260474118678,0.8942005833678607
1,EURUSD_10min30,sell,EURUSD,10min,0.14285714285714285,0.06963455947173752,1.17629253,1.17864747,1.17747,1.17772,81.99260474118678,-1.7408639867944513
2,GBPUSD_10min30,sell,GBPUSD,10min,0.14285714285714285,0.05924792052922326,1.38250611,1.3852738900000001,1.38389,1.38395,81.99260474118678,-0.35548752317533955
3,NZDUSD_10min30,buy,NZDUSD,10min,0.14285714285714285,0.11682188006324164,0.70115814,0.7025618600000001,0.70186,0.7020000000000001,81.99260474118678,1.6355063208853828
4,USDCAD_10min30,sell,USDCAD,10min,0.14285714285714285,0.10308356245876224,0.7946040104038243,0.7961948092234516,0.795399409813638,0.7954183900731784,81.99260474118678,-0.19565527698167015
5,USDCHF_10min30,sell,USDCHF,10min,0.14285714285714285,0.07482235145656999,1.0947345350939677,1.0969261958248864,1.095830365459427,1.095758319545041,81.99260474118677,0.5390644727185552
6,USDJPY_10min30,buy,USDJPY,10min,0.14285714285714285,8.0,0.009143826626457017,0.009162132585669143,0.00915297960606308,0.009151140232072917,73.22383684850465,-1.4714991921309775
7,AUDUSD_10min40,buy,AUDUSD,10min,0.14285714285714285,0.11164856906775814,0.73277649,0.73424351,0.73351,0.7336,81.89534189689127,1.0048371216098233
8,EURUSD_10min40,buy,EURUSD,10min,0.14285714285714285,0.06954368755096446,1.17643239,1.17878761,1.17761,1.17769,81.89534189689127,0.5563495004067037
9,GBPUSD_10min40,sell,GBPUSD,10min,0.14285714285714285,0.059184481001995526,1.3836853635483868,1.383774636451613,1.38373,1.38422,81.89534189689127,-2.900039569097781
10,NZDUSD_10min40,buy,NZDUSD,10min,0.14285714285714285,0.11667498952414308,0.7012080900000001,0.70261191,0.70191,0.70218,81.89534189689127,3.1502247171518634
11,USDCAD_10min40,buy,USDCAD,10min,0.14285714285714285,0.10297110813405624,0.7945281743349107,0.7961188213305762,0.7953234978327435,0.7954310440827885,81.89534189689127,1.1074156542808808
12,USDCHF_10min40,sell,USDCHF,10min,0.14285714285714285,0.07471885308646668,1.0949505134978135,1.097142606617929,1.0960465600578713,1.0960105217010083,81.89534189689127,0.2692744691923509
13,USDJPY_10min40,buy,USDJPY,10min,0.14285714285714285,8.0,0.009144936536194576,0.009159173065885063,0.00915205480103982,0.009151810228063112,73.21643840831855,-0.19565838136622915
14,AUDUSD_10min50,buy,AUDUSD,10min,0.14285714285714285,0.11220288213052552,0.7333290817241378,0.7339109182758621,0.7336199999999999,0.7337600000000001,82.31427838859614,1.57084034982899
15,EURUSD_10min50,buy,EURUSD,10min,0.14285714285714285,0.06989172346069263,1.17669609409091,1.17878390590909,1.17774,1.1778,82.31427838859614,0.4193503407641558
16,GBPUSD_10min50,buy,GBPUSD,10min,0.14285714285714285,0.05947821320909587,1.38255606,1.38532394,1.38394,1.38412,82.31427838859614,1.0706078377637256
17,NZDUSD_10min50,buy,NZDUSD,10min,0.14285714285714285,0.1172517960608466,0.70132797,0.7027320300000001,0.70203,0.70225,82.31427838859614,2.579539513338625
18,USDCAD_10min50,sell,USDCAD,10min,0.14285714285714285,0.10348468764735917,0.7952921462414827,0.7955572878138312,0.7954247170276569,0.7954436984950205,82.31427838859614,-0.19642912212136196
19,USDCHF_10min50,sell,USDCHF,10min,0.14285714285714285,0.07511342531516174,1.0950444921755131,1.096688291763469,1.095866391969491,1.0959144310012274,82.31427838859614,-0.36083762225453064
20,USDJPY_10min50,buy,USDJPY,10min,0.14285714285714285,8.0,0.009142066059343082,0.00916036849389632,0.0091512172766197,0.009153318077803204,73.20973821295762,1.6806409468017591
21,AUDUSD_10min60,buy,AUDUSD,10min,0.14285714285714285,0.11349517877724288,0.733230546551724,0.7339894534482759,0.73361,0.7338899999999999,83.26119810277315,3.1778650057628006
22,EURUSD_10min60,buy,EURUSD,10min,0.14285714285714285,0.07069753853051527,1.1768534836363644,1.1785665163636356,1.17771,1.17777,83.26119810277315,0.42418523118309165
23,GBPUSD_10min60,buy,GBPUSD,10min,0.14285714285714285,0.060138533396971554,1.38310551,1.38587449,1.38449,1.38421,83.26119810277315,-1.6838789351152035
24,NZDUSD_10min60,buy,NZDUSD,10min,0.14285714285714285,0.1185550307600358,0.7015977,0.7030023000000001,0.7023,0.7024100000000001,83.26119810277315,1.304105338362119
25,USDCAD_10min60,sell,USDCAD,10min,0.14285714285714285,0.10467597825480641,0.7946229716831053,0.7962138084632515,0.7954183900731784,0.7954057364661714,83.26119810277315,0.13245286919187024
26,USDCHF_10min60,sell,USDCHF,10min,0.14285714285714285,0.07596418670104611,1.0949625147967907,1.097154631943531,1.0960585733701609,1.0960585733701609,83.26119810277315,-0.0
27,USDJPY_10min60,sell,USDJPY,10min,0.14285714285714285,8.0,0.00914265841783505,0.009160962038291174,0.009151810228063112,0.009152898343059965,73.21448182450489,-0.8704919974834411
28,AUDUSD_10min70,buy,AUDUSD,10min,0.14285714285714285,0.1139335432171036,0.7333339034482758,0.7343460965517241,0.7338399999999999,0.7338399999999999,83.60899135443931,0.0
29,EURUSD_10min70,buy,EURUSD,10min,0.14285714285714285,0.0709868241519764,1.1773549370454548,1.1782650629545453,1.17781,1.17775,83.60899135443931,-0.4259209449108254
