,Ticket,Order Type,Currency Pair,Time Frame,Weight,Volume,SL,TP,Open Price,Close Price,Margin requirment,Porfit
0,AUDUSD_10min30,buy,AUDUSD,10min,0.14285714285714285,0.167795246105729,0.7393599,0.7408401,0.7401,0.74028,124.18526164285002,3.020314429903122
1,EURUSD_10min30,buy,EURUSD,10min,0.14285714285714285,0.104961553178253,1.18196685,1.1843331499999998,1.18315,1.18356,124.18526164285002,4.3034236803099
2,GBPUSD_10min30,sell,GBPUSD,10min,0.14285714285714285,0.08916230732542363,1.3914072,1.3941928000000001,1.3928,1.39279,124.18526164285002,0.08916230732542363
3,NZDUSD_10min30,buy,NZDUSD,10min,0.14285714285714285,0.175932199474195,0.70516413,0.70657587,0.70587,0.70528,124.18526164285002,-10.379999768977505
4,USDCAD_10min30,sell,USDCAD,10min,0.14285714285714285,0.15521419111693252,0.7992895204262878,0.8008896996463604,0.8000896100363241,0.800332938502417,124.18526164285002,-3.7768031040361407
5,USDCHF_10min30,buy,USDCHF,10min,0.14285714285714285,0.11258387450017497,1.1019435681351895,1.1041496613646893,1.1030466147499394,1.1030222810500772,124.18526164285002,-0.27395822114087864
6,USDJPY_10min30,buy,USDJPY,10min,0.14285714285714285,8.0,0.009101925161948668,0.00912014723434496,0.009111036198146814,0.009111202223133342,72.88828958517452,0.13281998922229832
7,AUDUSD_10min40,buy,AUDUSD,10min,0.14285714285714285,0.1664838489294119,0.7393998599999999,0.7408801399999999,0.7401399999999999,0.74033,123.2213559466149,3.1631931296612485
8,EURUSD_10min40,buy,EURUSD,10min,0.14285714285714285,0.10412133774979287,1.1822565600000001,1.18462344,1.18344,1.18344,123.22135594661489,0.0
9,GBPUSD_10min40,buy,GBPUSD,10min,0.14285714285714285,0.08846897369840673,1.3914271800000002,1.3942128200000001,1.3928200000000002,1.39267,123.22135594661489,-1.3270346054786757
10,NZDUSD_10min40,buy,NZDUSD,10min,0.14285714285714285,0.1747176303017538,0.7049955274999998,0.7055244725000002,0.70526,0.70549,123.22135594661488,4.018505496940337
11,USDCAD_10min40,buy,USDCAD,10min,0.14285714285714285,0.15397370975021155,0.7994750194066759,0.8010755699960787,0.8002752947013773,0.8002688903471566,123.22135594661488,-0.09861021778965655
12,USDCHF_10min40,buy,USDCHF,10min,0.14285714285714285,0.11174575106730666,1.102527436792234,1.1028603255110727,1.1026938811516533,1.1028519752078876,123.2213559466149,1.7666339053174227
13,USDJPY_10min40,buy,USDJPY,10min,0.14285714285714285,8.0,0.009102085215744477,0.00912030760856879,0.009111196412156634,0.00911136825417073,72.88957129725307,0.1374736112766186
14,AUDUSD_10min50,buy,AUDUSD,10min,0.14285714285714285,0.16788742811600713,0.73959966,0.74108034,0.74034,0.74038,124.29377853140473,0.6715497124640285
15,EURUSD_10min50,buy,EURUSD,10min,0.14285714285714285,0.10501599274348346,1.182631306551724,1.184508693448276,1.18357,1.18328,124.29377853140471,-3.0454637895594923
