,Ticket,Order Type,Currency Pair,Time Frame,Weight,Volume,SL,TP,Open Price,Close Price,Margin requirment,Porfit
0,AUDUSD_10min30,buy,AUDUSD,10min,0.14285714285714285,0.03473716080642851,0.72034893,0.72179107,0.72107,0.72088,25.04792454269141,-0.6600060553221417
1,EURUSD_10min30,sell,EURUSD,10min,0.14285714285714285,0.021325731386492932,1.1733654599999999,1.17571454,1.17454,1.17446,25.04792454269141,0.17060585109163312
2,GBPUSD_10min30,buy,GBPUSD,10min,0.14285714285714285,0.018257702431421455,1.37053809,1.37328191,1.37191,1.37211,25.04792454269141,0.3651540486284291
3,NZDUSD_10min30,sell,NZDUSD,10min,0.14285714285714285,0.036358248479781995,0.68823108,0.68960892,0.68892,0.68857,25.047924542691412,1.2725386967923698
4,USDCAD_10min30,sell,USDCAD,10min,0.14285714285714285,0.03168762838046805,0.7896733803395832,0.7912543080279508,0.790463844183767,0.7905075849202773,25.04792454269141,-0.1386040203624021
5,USDCHF_10min30,buy,USDCHF,10min,0.14285714285714285,0.0228943039905108,1.0929738955383907,1.0951620314653945,1.0940679635018926,1.0955542408904664,25.04792454269141,3.4027286348227763
6,USDJPY_10min30,sell,USDJPY,10min,0.14285714285714285,2.7470058845969665,0.009109145618674205,0.009127382146439319,0.009118263882556762,0.009116185787866358,25.04792454269141,0.5708538343289462
7,AUDUSD_10min40,buy,AUDUSD,10min,0.14285714285714285,0.035691327919273236,0.7212534392000001,0.7214265607999999,0.72134,0.72105,25.745582481288558,-1.035048509658924
8,EURUSD_10min40,buy,EURUSD,10min,0.14285714285714285,0.021919528739762936,1.17337545,1.17572455,1.17455,1.1746,25.745582481288555,0.10959764369913365
9,GBPUSD_10min40,buy,GBPUSD,10min,0.14285714285714285,0.018763907703113925,1.3707079199999999,1.37345208,1.37208,1.37202,25.74558248128855,-0.11258344621868355
10,NZDUSD_10min40,sell,NZDUSD,10min,0.14285714285714285,0.037392642888062155,0.6880099851851852,0.6890300148148149,0.68852,0.68885,25.745582481288555,-1.2339572153060512
11,USDCAD_10min40,sell,USDCAD,10min,0.14285714285714285,0.03256893420630446,0.7902454570455371,0.7907447171005304,0.7904950870730337,0.790463844183767,25.745582481288555,0.10175476049427594
12,USDCHF_10min40,buy,USDCHF,10min,0.14285714285714285,0.023502884791343506,1.0946125705892467,1.0962318904082449,1.0954222304987458,1.096202753661317,25.745582481288555,1.8344545966885744
13,USDJPY_10min40,buy,USDJPY,10min,0.14285714285714285,2.8237499984210728,0.009108397313214259,0.009126632342870344,0.009117514828042302,0.009118014461170935,25.745582481288555,0.14108390461908982
14,AUDUSD_10min50,sell,AUDUSD,10min,0.14285714285714285,0.03567629109434718,0.7201591199999999,0.72160088,0.72088,0.72133,25.718324724092994,-1.6054330992456232
15,EURUSD_10min50,buy,EURUSD,10min,0.14285714285714285,0.021897813246905404,1.17329553,1.1756444700000002,1.1744700000000001,1.17467,25.718324724092994,0.4379562649381081
16,GBPUSD_10min50,sell,GBPUSD,10min,0.14285714285714285,0.018743631869232783,1.37073789,1.3734821099999999,1.37211,1.37239,25.718324724092998,-0.5248216923385179
17,NZDUSD_10min50,sell,NZDUSD,10min,0.14285714285714285,0.03735034161246205,0.6880344455555557,0.6891055544444443,0.68857,0.68925,25.718324724092994,-2.5398232296474195
18,USDCAD_10min50,sell,USDCAD,10min,0.14285714285714285,0.03253419514247212,0.7898356506117222,0.7911670212827931,0.7905013359472577,0.7908201595875082,25.718324724092994,-1.037267052794259
19,USDCHF_10min50,sell,USDCHF,10min,0.14285714285714285,0.02346797131073486,1.0947945205479452,1.0969863013698629,1.095890410958904,1.096094614887157,25.718324724092994,-0.4792251929780133
20,USDJPY_10min50,buy,USDJPY,10min,0.14285714285714285,2.8214288138566217,0.009114833937768171,0.009115875692604192,0.009115354815186182,0.00911793132374127,25.718324724092994,0.726943547647056
21,AUDUSD_10min60,buy,AUDUSD,10min,0.14285714285714285,0.03467363068885491,0.7207285500000004,0.7221714499999997,0.72145,0.72145,25.015290860474373,0.0
22,EURUSD_10min60,buy,EURUSD,10min,0.14285714285714285,0.021297947162697208,1.1733654599999999,1.17571454,1.17454,1.17482,25.015290860474376,0.5963425205558317
23,GBPUSD_10min60,buy,GBPUSD,10min,0.14285714285714285,0.018231789092738985,1.3715414156557373,1.372598584344263,1.3720700000000001,1.37252,25.015290860474376,0.8204305091732543
24,NZDUSD_10min60,buy,NZDUSD,10min,0.14285714285714285,0.036320896229980366,0.68804127,0.6894187300000001,0.6887300000000001,0.68965,25.01529086047438,3.3415224531581935
25,USDCAD_10min60,sell,USDCAD,10min,0.14285714285714285,0.0316453435501345,0.7896983494593057,0.7912793271359009,0.7904888382976033,0.7907763842540606,25.015290860474376,-0.9099490578539454
26,USDCHF_10min60,sell,USDCHF,10min,0.14285714285714285,0.02281994893455915,1.0951065509076556,1.0972989564149784,1.096202753661317,1.0961306587745259,25.015290860474376,0.16452016350172025
27,USDJPY_10min60,sell,USDJPY,10min,0.14285714285714285,2.7434769792499454,0.009108979502516596,0.009127215697716828,0.009118097600116712,0.009118013629789134,25.015290860474376,0.023037066064989384
28,AUDUSD_10min70,buy,AUDUSD,10min,0.14285714285714285,0.03546320270076857,0.7207429440000002,0.7218970559999998,0.72132,0.72132,25.580317372118383,0.0
29,EURUSD_10min70,buy,EURUSD,10min,0.14285714285714285,0.02177659885084184,1.1734953300000002,1.17584467,1.17467,1.17476,25.580317372118383,0.19598938965725965
30,GBPUSD_10min70,buy,GBPUSD,10min,0.14285714285714285,0.018639112046136976,1.3717587967213114,1.3730412032786887,1.3724,1.37261,25.580317372118387,0.3914213529688765
31,NZDUSD_10min70,buy,NZDUSD,10min,0.14285714285714285,0.037113264232308145,0.68856075,0.68993925,0.68925,0.68945,25.58031737211839,0.7422652846461629
32,USDCAD_10min70,sell,USDCAD,10min,0.14285714285714285,0.03234656712021742,0.7902700238243167,0.7913702953506997,0.7908201595875082,0.7906763445451239,25.580317372118387,0.46519229213831403
33,USDCHF_10min70,sell,USDCHF,10min,0.14285714285714285,0.023337690948104766,1.0949985202722698,1.0971907095020443,1.096094614887157,1.0962147703978165,25.580317372118387,-0.28041521734805
34,USDJPY_10min70,sell,USDJPY,10min,0.14285714285714285,2.805495727469712,0.009108813392417528,0.00912704925506501,0.00911793132374127,0.00911809760011671,25.580317372118387,-0.04664876608774025
35,AUDUSD_10min80,buy,AUDUSD,10min,0.14285714285714285,0.03574164526877103,0.72072855,0.72217145,0.72145,0.72135,25.78580997915486,-0.3574164526877103
36,EURUSD_10min80,buy,EURUSD,10min,0.14285714285714285,0.021948172089334687,1.173792635,1.1759073649999998,1.17485,1.17475,25.78580997915486,-0.2194817208933469
