,Ticket,Order Type,Currency Pair,Time Frame,Weight,Volume,SL,TP,Open Price,Close Price,Margin requirment,Porfit
0,AUDUSD_10min30,sell,AUDUSD,10min,0.14285714285714285,0.04062682092844887,0.7248144599999999,0.72626554,0.72554,0.72547,29.47638365642679,0.28438774649914206
1,EURUSD_10min30,buy,EURUSD,10min,0.14285714285714285,0.02507561348909127,1.1743245,1.1766755,1.1755,1.17561,29.47638365642679,0.27583174838000396
2,GBPUSD_10min30,sell,GBPUSD,10min,0.14285714285714285,0.021472350342686842,1.37138724,1.37413276,1.37276,1.37255,29.47638365642679,0.4509193571964237
3,NZDUSD_10min30,buy,NZDUSD,10min,0.14285714285714285,0.042399861416033933,0.6945048,0.6958952,0.6952,0.69505,29.476383656426794,-0.635997921240509
4,USDCAD_10min30,buy,USDCAD,10min,0.14285714285714285,0.03710487174671004,0.7936129647283127,0.7952017794725136,0.7944073721004131,0.7943758192000635,29.47638365642679,-0.1170766320709892
5,USDCHF_10min30,sell,USDCHF,10min,0.14285714285714285,0.026889830990575344,1.0950945464510824,1.097286927925459,1.0961907371882706,1.0958063491019865,29.47638365642679,1.0336130674971797
6,USDJPY_10min30,sell,USDJPY,10min,0.14285714285714285,3.2323507553801054,0.009110059365852324,0.009128297722941117,0.00911917854439672,0.009118677952185666,29.47638365642679,0.16180896115400856
7,AUDUSD_10min40,sell,AUDUSD,10min,0.14285714285714285,0.04091179629788675,0.72473454,0.72618546,0.72546,0.7257399999999999,29.679871742264922,-1.145530296340829
8,EURUSD_10min40,buy,EURUSD,10min,0.14285714285714285,0.0252487211758953,1.1743245,1.1766755,1.1755,1.17548,29.679871742264925,-0.050497442351423186
9,GBPUSD_10min40,sell,GBPUSD,10min,0.14285714285714285,0.021624836423044923,1.37111751,1.37386249,1.37249,1.3729,29.679871742264925,-0.8866182933448419
10,NZDUSD_10min40,buy,NZDUSD,10min,0.14285714285714285,0.04268765352414125,0.69458472,0.69597528,0.69528,0.69495,29.67987174226493,-1.4086925662966612
11,USDCAD_10min40,buy,USDCAD,10min,0.14285714285714285,0.03736488093248958,0.7940809319758113,0.794569747569517,0.7943253397726642,0.7943568886629385,29.67987174226493,0.11788205286560875
