,Ticket,Order Type,Currency Pair,Time Frame,Weight,Volume,SL,TP,Open Price,Close Price,Margin requirment,Porfit
0,AUDUSD_10min30,buy,AUDUSD,10min,0.14285714285714285,0.02824970147004844,0.72281646,0.7242635399999999,0.72354,0.72365,20.439789001638847,0.31074671617053284
1,EURUSD_10min30,buy,EURUSD,10min,0.14285714285714285,0.017388461736174882,1.17430452,1.1766554799999998,1.1754799999999999,1.17542,20.439789001638847,-0.1043307704170493
2,GBPUSD_10min30,buy,GBPUSD,10min,0.14285714285714285,0.014921841305337934,1.36842021,1.37115979,1.36979,1.36955,20.439789001638847,-0.3581241913281104
3,NZDUSD_10min30,buy,NZDUSD,10min,0.14285714285714285,0.029427975584374284,0.6938754300000001,0.69526457,0.69457,0.69471,20.439789001638847,0.41199165818123995
4,USDCAD_10min30,sell,USDCAD,10min,0.14285714285714285,0.02592582836967871,0.7876064333017975,0.7891832229580574,0.7883948281299274,0.7883575359096857,20.439789001638847,0.09668317015131034
5,USDCHF_10min30,buy,USDCHF,10min,0.14285714285714285,0.018752688817443578,1.0888758092995878,1.0910557408497372,1.0899657750746625,1.0897757241559687,20.439789001638847,-0.3563965737735735
6,USDJPY_10min30,sell,USDJPY,10min,0.14285714285714285,2.2498280151993897,0.00907596006214171,0.009094130152356206,0.009085045107248958,0.009084382375099053,20.439789001638847,0.14910333574290083
7,AUDUSD_10min40,buy,AUDUSD,10min,0.14285714285714285,0.02827358225420519,0.7229463300000001,0.72439367,0.72367,0.72359,20.460743269900668,-0.22618865803364152
8,EURUSD_10min40,buy,EURUSD,10min,0.14285714285714285,0.017406435953193758,1.1743598338888892,1.1765801661111108,1.17547,1.17543,20.460743269900668,-0.06962574381277503
9,GBPUSD_10min40,sell,GBPUSD,10min,0.14285714285714285,0.014937138736522144,1.36842021,1.37115979,1.36979,1.3697700000000002,20.460743269900668,0.02987427747260956
10,NZDUSD_10min40,buy,NZDUSD,10min,0.14285714285714285,0.02945051208334029,0.6942800220588236,0.6952199779411764,0.69475,0.69471,20.460743269900668,-0.11780204833336116
11,USDCAD_10min40,sell,USDCAD,10min,0.14285714285714285,0.025953429800705505,0.7881885590900517,0.788538942979403,0.7883637510347273,0.7883948281299274,20.460743269900668,-0.08065572086872504
12,USDCHF_10min40,buy,USDCHF,10min,0.14285714285714285,0.018774982631893554,1.0888901282551797,1.0906850725381856,1.0897876003966827,1.0897994768962511,20.460743269900668,0.022298107312555483
13,USDJPY_10min40,buy,USDJPY,10min,0.14285714285714285,2.2520129356462135,0.009076449874283446,0.009094620945102832,0.00908553540969314,0.009086118228570389,20.460743269900668,0.13125156507058472
14,AUDUSD_10min50,buy,AUDUSD,10min,0.14285714285714285,0.02820837872193103,0.7233065000000003,0.7242934999999997,0.7238,0.72406,20.417224518933683,0.7334178467702068
15,EURUSD_10min50,sell,EURUSD,10min,0.14285714285714285,0.017370152387175382,1.1742445799999999,1.17659542,1.17542,1.17545,20.417224518933686,-0.052110457162031686
16,GBPUSD_10min50,buy,GBPUSD,10min,0.14285714285714285,0.014907327282170604,1.36824039,1.37097961,1.36961,1.37002,20.417224518933683,0.6112004185689948
17,NZDUSD_10min50,buy,NZDUSD,10min,0.14285714285714285,0.02938914169583959,0.6945769694117645,0.6948630305882355,0.69472,0.6948,20.417224518933683,0.23511313356671673
18,USDCAD_10min50,buy,USDCAD,10min,0.14285714285714285,0.025895370029608778,0.787662322302907,0.789239223849059,0.788450773075983,0.7886435331230284,20.417224518933683,0.49915927451629305
19,USDCHF_10min50,buy,USDCHF,10min,0.14285714285714285,0.018733211840612034,1.0888046037143604,1.0909843927107854,1.089894498212573,1.0897044721471536,20.417224518933683,-0.3559798538739056
20,USDJPY_10min50,sell,USDJPY,10min,0.14285714285714285,2.2474259889216253,0.009081411434352616,0.009088018499783199,0.009084714967067907,0.009085700506600488,20.417224518933683,-0.2214927158630711
21,AUDUSD_10min60,buy,AUDUSD,10min,0.14285714285714285,0.028485167068818377,0.72316611,0.7246138899999999,0.7238899999999999,0.7241,20.62012758944693,0.5981885084456005
22,EURUSD_10min60,buy,EURUSD,10min,0.14285714285714285,0.017542475659707794,1.1754073488888888,1.1754726511111113,1.17544,1.17548,20.62012758944693,0.07016990263908646
23,GBPUSD_10min60,buy,GBPUSD,10min,0.14285714285714285,0.015053935089941179,1.36838025,1.37111975,1.36975,1.37011,20.62012758944693,0.5419416632378824
24,NZDUSD_10min60,buy,NZDUSD,10min,0.14285714285714285,0.029679497365200834,0.6942900152941177,0.6952299847058824,0.69476,0.69498,20.62012758944693,0.6529489420344183
25,USDCAD_10min60,sell,USDCAD,10min,0.14285714285714285,0.026152095419143755,0.7876809537326142,0.7892578925789258,0.78846942315577,0.7884383401796062,20.62012758944693,0.08128849585451856
26,USDCHF_10min60,buy,USDCHF,10min,0.14285714285714285,0.018923915893939026,1.0886449574561574,1.0906215014537737,1.0896332294549655,1.0896332294549655,20.62012758944693,0.0
27,USDJPY_10min60,sell,USDJPY,10min,0.14285714285714285,2.2694100022393506,0.009083640196326232,0.009088596260814546,0.009086118228570389,0.009086116577419801,20.62012758944693,0.0003747137658134443
28,AUDUSD_10min70,buy,AUDUSD,10min,0.14285714285714285,0.028854137446771375,0.7234138115625001,0.7247261884374999,0.72407,0.72412,20.89241530108375,0.1442706872338569
29,EURUSD_10min70,buy,EURUSD,10min,0.14285714285714285,0.017773971926567482,1.1752867430555554,1.1756132569444449,1.17545,1.17544,20.89241530108375,-0.017773971926826126
30,GBPUSD_10min70,buy,GBPUSD,10min,0.14285714285714285,0.015248936421026175,1.36871991,1.37146009,1.37009,1.37007,20.89241530108375,-0.03049787284205235
31,NZDUSD_10min70,buy,NZDUSD,10min,0.14285714285714285,0.030070115144264817,0.6942586899999998,0.6953213100000002,0.69479,0.69499,20.89241530108375,0.6014023028852964
32,USDCAD_10min70,sell,USDCAD,10min,0.14285714285714285,0.0264915826017742,0.7885308697611536,0.7887561964849031,0.7886435331230284,0.7884321238784553,20.89241530108375,0.5600565465384465
33,USDCHF_10min70,buy,USDCHF,10min,0.14285714285714285,0.019172551673498534,1.0889442132130975,1.0904647310812101,1.0897044721471538,1.0896094839609485,20.89241530108375,-0.1821165908395819
34,USDJPY_10min70,sell,USDJPY,10min,0.14285714285714285,2.299502797698482,0.009082319047430261,0.0090889267731832,0.00908562291030673,0.009086033195095395,20.892415301083755,-0.0943451019384562
35,AUDUSD_10min80,buy,AUDUSD,10min,0.14285714285714285,0.02904180901088114,0.7235429668750002,0.7246970331249998,0.72412,0.7242,21.029754740959252,0.23233447208704913
36,EURUSD_10min80,buy,EURUSD,10min,0.14285714285714285,0.017890050821743303,1.1753040833333328,1.1756959166666672,1.1755,1.17554,21.029754740959252,0.07156020328697321
37,GBPUSD_10min80,buy,GBPUSD,10min,0.14285714285714285,0.01534872949352197,1.3687598699999999,1.3715001299999998,1.3701299999999998,1.3701,21.029754740959252,-0.0460461884801192
38,NZDUSD_10min80,buy,NZDUSD,10min,0.14285714285714285,0.030252545877030888,0.6945266411764707,0.6957533588235293,0.69514,0.69508,21.029754740959252,-0.18151527526218533
39,USDCAD_10min80,buy,USDCAD,10min,0.14285714285714285,0.02667182764041121,0.7883556886545163,0.7885707240744338,0.7884632063644751,0.7886124364181224,21.029754740959252,0.398023826965101
40,USDCHF_10min80,buy,USDCHF,10min,0.14285714285714285,0.019299847115967945,1.0889237008404367,1.0903427580694944,1.0896332294549655,1.0896925977181837,21.029754740959252,0.11457984036518538
41,USDJPY_10min80,sell,USDJPY,10min,0.14285714285714285,2.314492747280494,0.009077032110341818,0.00909520434679896,0.009086118228570389,0.009086444342575307,21.029754740959252,-0.075478849917101
42,AUDUSD_10min90,buy,AUDUSD,10min,0.14285714285714285,0.029136653915227954,0.72350577,0.72495423,0.72423,0.72419,21.101638865025542,-0.11654661566091182
43,EURUSD_10min90,buy,EURUSD,10min,0.14285714285714285,0.01795211909159595,1.1749502333333333,1.1759297666666668,1.17544,1.17553,21.101638865025542,0.16156907182436353
44,GBPUSD_10min90,buy,GBPUSD,10min,0.14285714285714285,0.015401531906448829,1.3690654346938769,1.3711345653061233,1.3701,1.37015,21.101638865025542,0.07700765953224414
45,NZDUSD_10min90,buy,NZDUSD,10min,0.14285714285714285,0.03035595544066741,0.6944448599999999,0.69583514,0.69514,0.69522,21.101638865025542,0.24284764352533927
46,USDCAD_10min90,sell,USDCAD,10min,0.14285714285714285,0.026764052638066495,0.7877563249151304,0.7891079228417802,0.7884321238784553,0.7884880741178789,21.101638865025542,-0.14974551530442085
47,USDCHF_10min90,buy,USDCHF,10min,0.14285714285714285,0.019366451101154494,1.0892935378499602,1.0899016853541101,1.0895976116020352,1.089621356578589,21.101638865025542,0.04598559273284326
48,USDJPY_10min90,sell,USDJPY,10min,0.14285714285714285,2.3224252718458462,0.009083363308343174,0.00908870803520892,0.009086035671776047,0.009086529383746126,21.101638865025542,-0.11466091563236212
49,AUDUSD_10min100,buy,AUDUSD,10min,0.14285714285714285,0.029165770748771677,0.7240762996923078,0.7243437003076922,0.72421,0.72426,21.12214283396794,0.1458288537438584
50,EURUSD_10min100,buy,EURUSD,10min,0.14285714285714285,0.017968034123864725,1.1752461150000004,1.1758338849999996,1.17554,1.1755799999999998,21.12214283396794,0.07187213649519743
51,GBPUSD_10min100,buy,GBPUSD,10min,0.14285714285714285,0.015416834785060573,1.3697624332653058,1.3703775667346945,1.3700700000000001,1.37018,21.12214283396794,0.1695851826356663
52,NZDUSD_10min100,buy,NZDUSD,10min,0.14285714285714285,0.030388074515117595,0.6943849200000001,0.69577508,0.69508,0.69504,21.12214283396794,-0.12155229806047038
53,USDCAD_10min100,buy,USDCAD,10min,0.14285714285714285,0.026786679099181455,0.7878147495551963,0.7892484433669443,0.7885315964610703,0.788494291301331,21.12214283396794,-0.09992813426812722
54,USDCHF_10min100,buy,USDCHF,10min,0.14285714285714285,0.019384212921589063,1.0895049308245206,1.0898090211433995,1.08965697598396,1.0895857395018413,21.12214283396794,-0.13808631371737162
55,USDJPY_10min100,sell,USDJPY,10min,0.14285714285714285,2.3245974295923415,0.009079952002608319,0.009092779813301907,0.009086365907955113,0.009086861307235869,21.12214283396794,-0.11516038946660466
56,AUDUSD_10min110,buy,AUDUSD,10min,0.14285714285714285,0.02914685485764593,0.724115148,0.724404852,0.72426,0.72431,21.10990109919864,0.14573427428822966
57,EURUSD_10min110,buy,EURUSD,10min,0.14285714285714285,0.01795762041206479,1.175213461111112,1.175866538888888,1.17554,1.17575,21.10990109919864,0.37711002865362186
58,GBPUSD_10min110,buy,GBPUSD,10min,0.14285714285714285,0.015406775144105213,1.3699742614285713,1.370365738571429,1.37017,1.3702,21.10990109919864,0.04622032543231564
